Composite.Element.REF	TCGA-ND-A4WA-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QN-A5NN-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N8-A4PO-01	TCGA-N8-A4PN-01	TCGA-N8-A4PM-01	TCGA-N8-A4PP-01	TCGA-N5-A4RV-01	TCGA-NA-A4QW-01	TCGA-NA-A4R1-01	TCGA-NA-A4QX-01	TCGA-N7-A59B-01	TCGA-N7-A4Y8-01	TCGA-N7-A4Y5-01	TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4VD-01	TCGA-N6-A4VC-01	TCGA-N6-A4VE-01	TCGA-N6-A4V9-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q1-01	TCGA-N9-A4PZ-01	TCGA-NA-A4R0-01	TCGA-NA-A4QY-01	TCGA-NA-A4QV-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-ND-A4W6-01	TCGA-N7-A4Y0-01	TCGA-N9-A4Q4-01
YWHAE|14-3-3_epsilon	0.2404	-0.6158	2.1778	-0.0792	2.9983	0.9474	-0.4894	0.2376	-0.5911	-0.5547	0.5768	0.465	0.999	-0.426	0.004	-1.1701	0.0376	0.826	0.0812	0.3713	0.51	-0.3945	-1.3992	-0.1452	-0.02	-0.4487	1.0307	-0.4015	0.0202	-0.3217	0.3454	0.4378	-0.1943	-1.1511	0.3695	-0.8227	0.5021	-0.7094	-0.068	2.8219	-3.2732	-0.6178	0.3293	-0.3426	-0.5946	-0.1481	-0.2844	-1.066
EIF4EBP1|4E-BP1	-1.0378	1.5972	0.546	1.3134	1.2012	0.4007	-0.4635	0.1891	-1.7699	-0.7659	-0.9582	-1.1074	0.2301	-0.2945	1.4352	0.0623	-1.347	3.1907	0.8376	0.0215	0.6659	0.1302	-0.1744	0.8559	1.8768	-0.9885	-1.7649	0.3415	-1.7721	0.3709	-0.7166	0.0143	0.1871	-0.4453	0.634	-0.7266	-0.4113	-0.4962	-0.4813	-1.4596	0.0057	-0.1767	-0.0251	-0.2181	0.6805	-0.9163	1.1532	0.5761
EIF4EBP1|4E-BP1_pS65	-0.8587	0.9921	-1.8052	0.4628	-1.428	1.775	-1.3166	-0.3842	-1.1605	0.1945	-1.6644	0.2971	-0.9548	0.9834	0.617	1.7992	-1.0308	0.4276	-0.1948	-0.262	-0.6016	-0.6673	0.0879	0.7488	0.3814	-0.7923	-0.1625	-0.2406	0.4542	-0.34	-1.1953	-0.1819	0.1462	0.4734	2.2591	-0.888	-0.5928	1.6131	-1.0672	2.098	1.9995	-0.5232	0.1827	-0.4549	1.1918	-0.1056	-0.1955	-0.1159
EIF4EBP1|4E-BP1_pT37T46	-1.6635	1.5608	-0.7413	0.423	-3.9437	0.2943	-0.4169	0.0807	-1.1219	0.36	-1.1199	-0.8735	-1.9883	1.3566	0.5941	0.9628	-0.7221	0.6717	1.1743	0.0171	0.3697	0.1846	0.2787	-0.0989	0.7426	-0.4163	-1.6129	0.9734	-0.431	0.0675	0.3207	-0.043	0.8383	0.2474	1.0924	1.0356	-0.7096	1.5444	-0.8097	-0.4169	0.9774	-0.072	0.6045	-0.0527	0.3876	-0.43	0.1189	0.4052
TP53BP1|53BP1	0.6759	0.0291	-3.825	-0.146	-0.3193	1.7969	0.0895	0.6389	-0.5695	-0.108	0.0507	-1.9878	1.1183	-1.372	0.2315	0.731	-0.4708	1.4621	0.5711	0.7249	0.3131	1.7156	-0.2389	0.463	1.262	-0.1707	0.424	-0.7708	-0.0259	1.3468	-0.2901	-0.2218	-0.668	-0.2404	-0.808	-0.2688	1.2717	1.2038	-0.0633	-1.3518	0.848	-0.2006	-1.5282	0.1796	-0.293	0.1245	-0.5634	-0.7698
ACACA ACACB|ACC_pS79	2.1864	-0.4225	-1.2048	0.3936	-1.7465	-0.2107	-0.7065	0.4899	-1.2284	-0.3398	0.712	0.3256	-1.3271	0.1626	2.3415	1.4902	-0.8926	0.9142	0.0087	0.5751	-3.2098	-0.2329	0.4004	-0.1071	-0.6032	-0.461	-1.8501	1.2201	0.307	-0.1258	0.348	0.4022	0.3042	-0.4933	0.9133	0.868	0.0938	0.7613	-0.4935	-1.0063	-0.78	0.3747	-0.8759	0.8376	0.381	-0.1233	0.7002	0.9293
ACACA|ACC1	1.5069	-0.54	-0.1325	0.2848	1.0002	0.2751	-0.9145	0.126	-0.8851	-0.6798	0.6556	0.3778	-0.8521	-0.1674	2.0764	1.2678	-1.1381	0.9208	-0.1971	0.521	-4.2488	-0.5307	-0.2017	-0.2104	-0.7722	-0.3837	-0.5318	1.5943	-0.0685	-0.2841	0.5258	0.5007	0.0201	-0.7103	0.9704	0.7399	0.3141	0.5955	-0.9233	-1.6566	-0.305	0.7702	-1.0375	0.7739	0.3333	-0.3472	0.777	0.7906
AKT1 AKT2 AKT3|Akt	-0.6478	0.0604	-4.8794	-0.2651	-1.1872	-0.2752	0.0999	0.4283	-0.3999	-0.2319	-0.2432	-1.1409	0.7313	-0.4474	0.9322	0.8021	0.6904	0.2079	-0.6057	0.1322	1.497	0.9009	-0.1502	0.8432	0.4028	-0.1487	-0.0367	1.3476	0.4596	-0.1669	0.0198	-0.5079	0.9084	0.0566	0.1064	-0.5368	0.6863	-0.1464	0.1286	-1.4226	1.4369	-0.1135	0.3754	-1.1966	1.1796	-0.7502	1.2993	-0.2331
AKT1 AKT2 AKT3|Akt_pS473	-1.0466	0.8289	-0.4143	1.5187	-1.1474	-1.1026	-0.5373	-0.4137	-0.9612	-0.0483	-0.5457	-1.2556	-1.0263	-0.0657	-0.1785	1.7008	0.3067	-0.5195	0.2971	0.4088	1.7362	1.7872	-0.5264	-0.5732	-1.494	-0.4912	-1.1955	1.8176	-0.8136	-0.8793	1.8184	-0.5381	-0.012	0.3217	1.7045	1.8573	-0.607	-0.6836	-0.6775	0.0144	0.1435	0.1444	0.4825	0.4193	-0.4682	-0.544	2.2311	-0.7726
AKT1 AKT2 AKT3|Akt_pT308	-1.1101	0.5927	0.1724	1.5725	-0.9889	-0.9965	-0.6204	-0.3449	-1.1991	-0.0686	-0.2204	-0.897	-1.0347	-0.0272	0.2933	1.7063	-0.028	-0.0874	0.1143	0.655	1.7363	1.9758	-0.9444	-0.6132	-1.3981	-0.7768	-0.8664	0.8749	-0.7034	-0.1581	1.8779	-0.9241	-0.2506	0.2449	2.085	1.848	-0.8181	-0.6492	-0.7894	0.4677	-0.3304	0.4404	-0.1631	0.1662	-0.4615	-0.4291	2.3142	-1.239
